Title,Keywords
Hardware friendly robust synthetic basis feature descriptor,
"The September 19, 2017 Mw 7.1 Puebla-Mexico city earthquake: Important findings from the field – Overview of Special Edition",Buildings; Earthquakes; Geotechnical engineering; Piles; Seismic response; Soil structure interactions; Soils; Structural design; Building damage; Engineering reconnaissance; Foundation deformation; Foundation performance; Site response; Soil-Structure Interaction effects; Structural resonance; Surrounding regions; Earthquake engineering; building; damage; deformation; earthquake event; foundation; mapping; seismic response; strong motion; structural response; Mexico [North America]; Morelos; Puebla [Mexico]; Puebla [Puebla (STT)]
Generating a Binary Symmetric Channel for Wiretap Codes,Channel coding; Concatenated codes; Decoding; Encoding (symbols); Gaussian distribution; Network layers; Receivers (containers); Reliability; Signal encoding; Signal receivers; Binary symmetric channel; Information- theoretic securities; Kullback Leibler divergence; Physical layer security; practical secrecy coding; Security; Security and reliabilities; Wire-tap channels; Signal to noise ratio
Evaluation of intermetallic compound layer at aluminum/steel interface joined by friction stir scribe technology,Binary alloys; Friction; Friction stir welding; Intermetallics; Iron alloys; Kinetics; Research laboratories; Soldered joints; Strain rate; Tensile testing; Thermodynamics; Dissimilar; Effective heat of formation; Friction stir; High strain rate deformation; Intermetallic compound layer; Lap-shear testing; Micro-structural characterization; Welded interface; Aluminum alloys
Soft body armor time-dependent back face deformation (BFD) with ballistics gel backing,Armor; Deformation; High speed cameras; Projectiles; Areal densities; Ballistic fabric; Ballistic impact; Body armors; Face deformations; Impact behavior; Soft body armor; Test parameters; Aramid fibers
Phase II monitoring of variability using Cusum and EWMA charts with individual observations,Flowcharting; Graphic methods; Process control; Statistics; Average run lengths; Average time to signal; Cusum; EWMA; Phase II monitoring; Process Variability; Shewhart control charts; variability; Control charts
Relative moving target tracking and circumnavigation,
Visual servoing with feed-forward for precision shipboard landing of an autonomous multirotor,
Tracking multiple vehicles constrained to a road network from a uav with sparse visual measurements,
Abstractions and realizations of dynamic networks,
Quantifying the effects of various factors on the utility of design ethnography in the developing world,Developing countries; Design ethnographies; Developing world; Global development; Low resource; Poverty alleviation; Resource-poor; Product design
Single-Event Characterization of a Stratix® 10 FPGA Using Neutron Irradiation,Computer control systems; Field programmable gate arrays (FPGA); Neutron scattering; Radiation effects; Radiation hardening; Static random access storage; Configuration memory; Data collection system; Large-scale deployment; Memory blocks; Neutron cross sections; New York city; Single event characterization; Single event upsets; Neutron irradiation
Neutron radiation testing of fault tolerant risc-v soft processor on xilinx SRAM-based FPGAs,Computer control systems; Error correction; Fault tolerance; Fault tolerant computer systems; Field programmable gate arrays (FPGA); Neutron scattering; Neutrons; Radiation hardening; Redundancy; Space applications; Fault injection; Radiation testing; Single event upsets; Soft processors; Triple modular redundancy; Neutron irradiation
Extended Abstract: Comparison of Peer and Instructor Qualitative Feedback on Presentations,Technical presentations; Assessment; Extended abstracts; Feedback technology; Oral presentations; Peer feedback; Qualitative feedback; Real time; Professional aspects
Experimental Performance of Block-Out Connections at the Base of Steel Moment Frames,Concrete beams and girders; Microalloyed steel; Stiffness; Beneficial effects; Column depths; Lower bounds; Slab-on-grade; Steel column; Steel moment frames; Strength and stiffness; Strength models; Bending strength
Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,Backscattering; Electron diffraction; Forming; Geometry; Metals; Microfabrication; Coining; Dislocation densities; EBSD; Micro forming; Microstructure formation; Tantalum
Enhanced-Resolution SMAP Brightness Temperature Image Products,Earth (planet); Image enhancement; Luminance; Meteorological instruments; Microwave devices; Microwave measurement; Microwave sensors; Microwaves; NASA; Radiometers; Soil moisture; Temperature; Advanced Microwave Scanning Radiometer-Earth Observing System (AMSR-E); Brightness temperatures; Image reconstruction techniques; Scanning multichannel microwave radiometer; Scatterometer Image Reconstruction algorithms; Soil moisture active passive (SMAP); Special sensor microwave imagers; Special sensor microwave/Imager; Image reconstruction; algorithm; brightness temperature; detection method; image resolution; radiometer; reconstruction; satellite sensor; simulation; spatial resolution
Normalized Coordinate Equations and an Energy Method for Predicting Natural Curved-Fold Configurations,Mechanical properties; Coordinate equations; Curved folding; developable; energy; Energy configurations; Natural configurations; origami; Physical model; Mechanical engineering
Heat transfer to bouncing droplets on superhydrophobic surfaces,Cooling; Heat flux; Heat transfer; High speed cameras; Hydrophobicity; Surface properties; Boiling temperature; Contact time; Cooling effectiveness; Droplet impact; Hydrophilic substrate; Similarity solution; Super-hydrophobic surfaces; Temperature variation; Drops
"Relationships between footwear, foot structure, and foot muscle strength",
Running shoe optimal stiffness and speed,
Accelerating silicon photonic parameter extraction using artificial neural networks,Extraction; Group delay; Iterative methods; Neural networks; Parameter extraction; Photonic devices; Ultrashort pulses; Chirped Bragg grating; Design parameters; Device parameters; Discrete numbers; Extracting parameter; Index contrasts; Parameter extraction tools; Parameter-extraction method; Silicon photonics
Effect of Post-weld Heat Treatment on Microstructure and Mechanical Properties of Dissimilar Metal Weld Used in Power Plants,Alloy steel; Carbides; Chromium compounds; Coarsening; Dissimilar metals; Hardness; Heat treatment; Martensite; Metals; Welds; Carbon concentrations; Carbon depletion; Carbon migration; Chromium carbide; Dissimilar metal weld; Microstructural changes; Microstructure and mechanical properties; Post weld heat treatment; Mechanical properties
S-splines: A simple surface solution for IGA and CAD,Blending; Blending function; Control point; Isogeometric analysis; Linear independence; Local refinement; Refinement algorithms; Spline surfaces; T-splines; Degrees of freedom (mechanics)
Atomistic survey of grain boundary-dislocation interactions in FCC nickel,Burgers vector; Dislocations (crystals); Learning systems; Mechanical properties; Molecular dynamics; Nickel; Polycrystalline materials; Dislocation movement; Disorientation angle; Geometric properties; Grain boundary dislocation; Loading condition; Residual burgers vectors; Slip system; Grain boundaries
Lowman's model goes back to the movies,
Achieving tiered model quality in 3D structure from motion models using a multi-scale view-planning algorithm for automated targeted inspection,3D modeling; Antennas; Automation; Data handling; Inspection; Optical radar; Planning; Remote sensing; Unmanned aerial vehicles (UAV); Automated inspection; Industrial inspections; Infrastructure modeling; Multi-Scale; Multi-scale approaches; Structure from motion; Unmanned aircraft system; View planning; Three dimensional computer graphics
"Disaster reconnaissance using multiple small unmanned aerial vehicles""",Unmanned aerial vehicles (UAV); Small unmanned aerial vehicles; Antennas
EFFECT OF GYROSCOPE PARAMETERS ON GYROSCOPIC TREMOR SUPPRESSION IN A SINGLE DEGREE OF FREEDOM,Degrees of freedom (mechanics); Frequency response; Technology transfer; gyrostabilizer; hand; suppression; Tremor; wrist; Gyroscopes
Deep RC: Enabling remote control through deep learning,Aircraft control; Aircraft detection; Flight simulators; Image processing; Neural networks; Passive filters; Remote control; Training aircraft; Unmanned aerial vehicles (UAV); Well testing; Attitude measurement; Convolutional neural network; Flight demonstration; Human abilities; Image processing - methods; Learning methods; Network topology; Position and orientations; Deep learning
Encirclement of moving targets using relative range and bearing measurements,Antennas; Feedback linearization; Angular rate; Circular trajectory; Constant velocities; Control laws; Lyapunov theories; Moving targets; Range rate; Stationary targets; Unmanned aerial vehicles (UAV)
Error-state LQR control of a multirotor UAV,Aircraft detection; Linear control systems; Unmanned aerial vehicles (UAV); Control schemes; Error-state; Estimated state; Lie theory; LQR control; LQR controller; State tracking; Time dependent trajectory; Aircraft control
Visual servoing for multirotor precision landing in daylight and after-dark conditions,Degrees of freedom (mechanics); Robot applications; Visual servoing; Autopilot systems; Dark conditions; Degree of freedom; Flight testing; Image based visual servoing; Precision landing; Vision-based approaches; Unmanned aerial vehicles (UAV)
A review of binarized neural networks,
Improved Ultrahigh-Resolution Wind Retrieval for RapidScat,Estimation; Meteorological instruments; Radar; Weather forecasting; Wind; Wind effects; Antenna measurement; Azimuth; Oceans; Radar scattering; RapidScat; Scatterometers; Sea measurements; Radar measurement; algorithm; detection method; estimation method; model validation; radar; RapidScat; scattering; scatterometer; wind direction
Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,Backscattering; Image reconstruction; Microwave measurement; Radiometers; Sampling; Algorithm performance; Backus-Gilbert; Brightness temperatures; Higher resolution images; Scatterometer image reconstruction; Scatterometer Image Reconstruction algorithms; Scatterometers; Variable aperture; Meteorological instruments; algorithm; backscatter; brightness temperature; comparative study; data processing; image analysis; image resolution; imaging method; noise; radiometer; sampling; scatterometer
Don't Punish all of us: Measuring User Attitudes about Two-Factor Authentication,Felt; Surveys; Security; Two factor authentication; Usability; Usable security; User attitudes; Authentication
Gesture commands for controlling high-level UAV behavior,Fixed wings; Regression analysis; Traction (friction); Unmanned aerial vehicles (UAV); Dynamic environments; Gesture commands; Logistic Regression modeling; Natural interfaces; Overall accuracies; Unmanned air vehicle (UAVs); Gesture recognition
Using case-method pedagogy to facilitate audience awareness,Computer aided instruction; Computer aided software engineering; Education; Employment; Technical writing; Audience awareness; Case method; pedagogy; Proposal writing; Proposals; Students
Highly accurate acoustic scattering: Isogeometric Analysis coupled with local high order Farfield Expansion ABC,Acoustic field measurement; Acoustic waves; Boundary conditions; Discrete event simulation; Errors; Finite element method; Underwater acoustics; Volume measurement; Absorbing boundary condition; Acoustic Scattering; High-frequency scattering; Isogeometric analysis; Very low frequency; Acoustic wave scattering
Dynamic optimization of a district energy system with storage using a novel mixed-integer quadratic programming algorithm,Branch and bound method; Costs; Digital storage; Electric energy storage; Electric power transmission networks; Heat storage; Power markets; Quadratic programming; Thermal energy; Water cooling systems; Chiller; District energy systems; Dynamic optimization; Intermittent renewables; Mixed integer quadratic programming; Near-optimal solutions; Real-time optimization; Thermal energy storage tanks; Integer programming
Data classification and parameter identification in power systems by manifold learning,Big data; Classification (of information); Electric load flow; Identification (control systems); Learning algorithms; Learning systems; Real time systems; Trees (mathematics); Data classification; Diffusion maps; Load modeling; Manifold learning; Manifold learning algorithm; Point of interest; Power-flow solution; Real-time operation; Parameter estimation
Fabrication of demineralized bone matrix/polycaprolactone composites using large area projection sintering (LAPS),
Modeling of trans-grain twin transmission in AZ31 via a neighborhood-based viscoplastic self-consistent model,Electron microscopy; Grain boundaries; Magnesium alloys; Magnesium printing plates; Nucleation; Stochastic systems; Twinning; Dislocation densities; Electron back scatter diffraction; Number of transmissions; Texture information; Uni-axial compression; Visco-plastic self-consistent; Viscoplastic self-consistent model; VPSC; Stochastic models
Site effects in Mexico City basin: Past and present,Clay deposits; Deposits; Faulting; Seismic response; Soil structure interactions; Soils; 3d finite differences; Epicentral distances; Hydraulic conditions; Infrastructure; Maintenance structures; Seismic risk; Seismic vulnerability; Site response; Earthquakes; aftershock; earthquake damage; earthquake mechanism; finite difference method; risk assessment; seismic response; site effect; site investigation; soil profile; soil-structure interaction; subsoil; three-dimensional modeling; urban area; Federal District [Mexico]; Mexico City; Mexico [North America]
Thermal and Vapor Smoothing of Thermoplastic for Reduced Surface Roughness of Additive Manufactured RF Electronics,3D printers; Additives; Amplitude modulation; Coplanar waveguides; Extrusion; Reinforced plastics; Scanning electron microscopy; Substrates; Conductive ink; Coplanar wave-guide (CPW); Electrical conductivity; Printed electronics; Radio frequency devices; Smoothing process; Solvent absorption; thermal smoothing (TS); Surface roughness
In-plane permeability characterization of engineering textiles based on radial flow experiments: A benchmark exercise,Mechanical permeability; Process monitoring; Radial flow; Silicones; Textiles; Characterization procedures; Coefficient of variation; Fabrics/textiles; Fiber volume content; In-plane permeability; Liquid composite molding; Measurement system; Resin flows; Weaving
Non-canonical amino acid labeling in proteomics and biotechnology,proteome; transfer RNA; amino acid labeling; amino terminal sequence; bioengineering; biotechnology; chemical labeling; chemical structure; click chemistry; cycloaddition; decision tree; disulfide bond; mass spectrometry; priority journal; protein expression; protein function; protein synthesis; proteomics; quorum sensing; Review; structure activity relation
Physical-Layer Security: Does it Work in a Real Environment?,Network layers; Channel measurements; Channel sounding; Indoor environment; Physical layer security; Physical locations; Point design; Power settings; Real environments; Codes (symbols)
"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",
The design critique and the moral goods of studio pedagogy,Design; Engineering; Design critiques; Design Education; ethics; In-depth interviews; reasoning; Self cultivations; Social practices; Student development; Studios
Single Particle Detection Enhancement with Wavelet-based Signal Processing Technique,
Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening,"adult; aged; Article; biomechanics; body weight; controlled study; female; human; internal knee extension moment; knee flexion angle; knee function; knee osteoarthritis; major clinical study; male; muscle strength; muscle training; musculoskeletal system parameters; priority journal; quadriceps strengthening; randomized controlled trial (topic); sagittal plane walking biomechanics; vertical ground reaction force; walking; walking speed; biomechanics; disability; gait; joint characteristics and functions; knee; knee osteoarthritis; middle aged; pain measurement; pathophysiology; physiology; procedures; quadriceps femoris muscle; randomized controlled trial; resistance training; weight bearing; Adult; Aged; Biomechanical Phenomena; Disability Evaluation; Female; Gait; Humans; Knee Joint; Male; Middle Aged; Muscle Strength; Osteoarthritis, Knee; Pain Measurement; Quadriceps Muscle; Range of Motion, Articular; Resistance Training; Weight-Bearing"
Recognition of Chinese food using convolutional neural network,Backpropagation; Convolution; Deep neural networks; Neural networks; Nutrition; Bag of features; Computer vision technology; Convolutional neural network; Deep convolutional neural networks; Proposed architectures; Real time performance; Recognition; Recognition accuracy; Network architecture
Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,Compliant mechanisms; Degrees of freedom (mechanics); Hinges; Mechanisms; Stiffness; Stiffness matrix; Transfer matrix method; D' Alembert's principle; Degrees of freedom (DoFs); Displacement amplification; Dynamic stiffness matrix; Flexure hinge; Frequency dependent; Micro/nano positioning; Static and dynamic performance; Dynamics
Optofluidic Platform with Integrated Optical Waveguides and Sample Preparation for Digitized Detection of Nucleic Acid Targets,
Full-Duplex Jamming for Enhanced Hidden-Key Secrecy,Adaptive filtering; Adaptive filters; Bit error rate; Network layers; Concatenated coding; Full-duplex; Hidden key; Physical layer security; Security and reliabilities; Security gap; Jamming
Adaptive Physical-Layer Security Through Punctured Coding for Secrecy,Codes (symbols); Piercing; Adaptive characteristic; Channel conditions; Channel quality; coding for secrecy; interleaving; Physical layer security; scrambling; Network layers
The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,"chelate; gadodiamide; gadolinium; gadolinium chloride gd 153; gadolinium diethylene triaminepentaacetic acid bis glucosamide; gadolinium pentetate derivative; pentetate bismetylamide; pentetic acid derivative; unclassified drug; zinc; chelating agent; contrast medium; gadodiamide; gadolinium pentetate; gadolinium-DTPA bis-glucosamide; organometallic compound; pentetic acid; zinc; animal experiment; animal tissue; Article; cohort analysis; contrast enhancement; controlled study; drug dosage form comparison; drug formulation; female; image quality; in vitro study; inductively coupled plasma mass spectrometry; isotope labeling; male; nonhuman; priority journal; rat; zinc blood level; animal; bone; chemistry; femur; nuclear magnetic resonance imaging; Sprague Dawley rat; Animals; Bone and Bones; Chelating Agents; Contrast Media; Femur; Gadolinium; Gadolinium DTPA; Magnetic Resonance Imaging; Organometallic Compounds; Pentetic Acid; Rats; Rats, Sprague-Dawley; Zinc"
High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,Glass; Grain boundaries; Large dataset; Metallic glass; Structural properties; Computational materials science; Grain boundary structure; High throughput; Inferential statistics; Large datasets; Materials informatics; Microstructural phenomenon; Structure property relationships; Throughput
The AFLOW Library of Crystallographic Prototypes: Part 2,Database systems; Software prototyping; Vector spaces; Automatic Generation; Basis vector; High-throughput method; Lattice vectors; Space Groups; Structural prototype; Two dimensional plane; Wyckoff positions; Crystal structure
Informatics analysis of capillary electropherograms of autologously doped and undoped blood,Blood; Capillary electrophoresis; Cluster analysis; Genes; Informatics; Inverse problems; Least squares approximations; Multivariant analysis; Pattern recognition; Principal component analysis; Statistical mechanics; First order derivatives; Genomic sequencing; Inverse least squares; Partial least square (PLS); Physiological effects; Prediction capability; Variable selection methods; World Anti-Doping Agency; Blood vessels
Origami-Based Design of Conceal-and-Reveal Systems,Mechanical engineering; Robotics; Coupled motions; Engineering design; Luxury products; Two-state; Design
A usability study of four secure email tools using paired participants,First-time user; Grassroots adoption; Integrated solutions; Key management; Paired participants; Pretty good privacy; Secure messages; Usability studies; Electronic mail
Deconfliction in high-density unmanned aerial vehicle systems,Antennas; Autonomous agents; Collision avoidance; Computational methods; Efficiency; Agent-based model; Conflict Resolution; Mid-air collisions; Safety and efficiencies; SIMPLE method; Small unmanned aerial vehicles; System safety; Unmanned aerial vehicle systems; Unmanned aerial vehicles (UAV)
Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,Bit error rate; Computational complexity; Equalizers; Error statistics; Frequency domain analysis; Frequency estimation; Frequency modulation; Maximum likelihood estimation; Optical communication; Quadrature phase shift keying; Signal receivers; Telemetering; Telemetering equipment; Aeronautical telemetry; Bit error rate (BER) performance; Correlated symbols; equalization; Frequency selective multipath; Maximum likelihood sequence estimation; Observation model; SOQPSK; Pulse amplitude modulation
Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,"losartan; serine protease HTRA1; transforming growth factor beta1; angiotensin 1 receptor antagonist; losartan; transforming growth factor beta1; animal cell; animal experiment; animal model; animal tissue; Article; articular cartilage; chondrocyte; chondrodysplasia; controlled study; disease exacerbation; drug effect; drug efficacy; histopathology; in vitro study; in vivo study; joint degeneration; knee osteoarthritis; mouse; nonhuman; osteoarthritis; priority journal; protein expression; temporomandibular joint; TGF beta signaling; upregulation; animal; C57BL mouse; cell culture; diagnostic imaging; disease model; immunohistochemistry; knee; metabolism; mutant mouse strain; osteoarthritis; pathology; synovium; temporomandibular joint; Western blotting; Angiotensin II Type 1 Receptor Blockers; Animals; Blotting, Western; Cartilage, Articular; Cells, Cultured; Chondrocytes; Disease Models, Animal; Disease Progression; Immunohistochemistry; Knee Joint; Losartan; Mice; Mice, Inbred C57BL; Mice, Mutant Strains; Osteoarthritis; Synovial Membrane; Temporomandibular Joint; Transforming Growth Factor beta1"
Impact of pulse length on the accuracy of defect depth measurements in pulse thermography,3D printers; Polymer blends; Styrene; Surface defects; Surface testing; Thermography (imaging); Acrylonitrile butadiene styrene; Defect depth quantifications; Non-destructive test methods; Nondestructive testing method; Pulse thermography; Subsurface defect; Surface temperatures; Threedimensional (3-d); Nondestructive examination
Predicting recrystallized grain size in friction stir processed 304L stainless steel,Computer simulation; Forecasting; Friction; Friction stir welding; Grain size and shape; Heat affected zone; Neutron irradiation; Nuclear industry; Numerical models; Recrystallization (metallurgy); Repair; Stainless steel; Strain rate; 304L stainless steel; Finite-element approach; Friction stir processing; Fusion welding; Intergranular crack; Lower peak temperatures; Recrystallized grain sizes; Temperature prediction; Austenitic stainless steel
Polar coding for physical-layer security without knowledge of the eavesdropper's channel,Network layers; Adaptive decoding; Decoding strategy; Decoding techniques; Physical layer security; Polar codes; Security gap; System security; Wire-tap channels; Decoding
"Direct Relative Edge Optimization, A Robust Alternative for Pose Graph Optimization",Mapping; Multi agent systems; Multipurpose robots; Robotics; Edge constraints; Edge-based methods; Graph problems; Hardware experiment; Multi-robot systems; Pose graph optimizations; Simulation comparison; SLAM; Errors
Compressive strength of high-strength concrete masonry grouted prisms,Compressive strength; Concrete construction; Deformation; Efficiency; Grouting; High performance concrete; Prisms; Shrinkage; Block geometry; Compatibility; Concrete masonry units; Experimental program; High strength; High strength concretes; Medium strengths; Shrinkage characteristic; Mortar
The polygraph: A data structure for genome alignment and variation detection,Bioinformatics; Bismuth compounds; Data structures; Escherichia coli; Genes; Yeast; De Bruijn graphs; Genome alignment; Genomic structure; Graph methods; Graph structures; Multiple whole genome alignment; Reference-free; Structural variations; Boron compounds
Quantifying accuracy of a concept laser metal additive machine through the NIST test artifact,Optical data processing; 316 stainless steel; Additive manufacturing process; Design/methodology/approach; Dimensional accuracy; Inclined surface; Measurement strategies; Optical measurement systems; Size and position; 3D printers
Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,Bridge decks; Concrete testing; Concretes; Delamination; Signal processing; Degree of similarity; Delamination detections; Excitation mechanisms; Impact-echo testing; Measurement instruments; Percentage points; Quantitative method; Universal threshold; Concrete bridges
The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,Antenna lobes; Beam forming networks; Beamforming; MIMO systems; Radar antennas; Radar signal processing; Radar systems; Tracking radar; Antenna mutual coupling; Beam-steering; Detection performance; Monostatic MIMO radars; Multiple input multiple output (MIMO) radars; Mutual coupling; Radio frequency circuitries; Simple matching network; MIMO radar
Turning depths: Evanescent to propagating wave kinetic energy density,Electromagnetic wave reflection; Kinetic energy; Oceanography; Topography; Evanescent wave; Internal waves; Kinetic energy density; Propagating waves; Synthetic schlieren; Tidal flow; Tidal frequencies; Topographic slope; Kinetics
Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,Decay (organic); Hydrogen embrittlement; Recovery; Steel; Tensile testing; Advanced high strength steel; Concentration Measurement; Crystallographic orientations; Diffusible hydrogen; Empirical relations; Hydrogen concentration; Hydrogen diffusion; Microstructural evaluation; High strength steel
Over-Design Versus Redesign as a Response to Future Requirements,Automobile manufacture; Cellular telephones; Obsolescence; Purchasing; capabilities; Defense contractor; Development costs; excess; Net present value; Product development strategy; redesign; requirements; Product design
Control of Net Radiative Heat Transfer with a Variable-Emissivity Accordion Tessellation,Analytical models; Irradiation; Radiative transfer; Uncertainty analysis; Apparent temperature; Cavity parameters; Collimated irradiation; Experimental uncertainty; Irradiated surface; Radiative heat transfer; Radiative properties; Vacuum environment; Heat radiation
Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,Biocompatibility; Durability; Electric power systems; Energy harvesting; Flexible electronics; Lead zirconate titanate; Nitrides; Open circuit voltage; Piezoelectric devices; Piezoelectricity; Thin films; Wearable technology; Biocompatible; Flexible; III-Nitride; Piezoelectric generators; Self-powered systems; Thin film circuits
Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,Chlorine compounds; Connecting rods; Damage detection; Magnesium compounds; Natural frequencies; Nondestructive examination; Residual stresses; Spectroscopy; Stainless steel; Steel containers; Steel corrosion; Ultrasonic testing; Cumulative amount; Longitudinal modes; Magnesium chloride solution; Non destructive evaluation; Non-linear ultrasonic; Nonlinear resonant ultrasound spectroscopies; Resonance frequencies; Resonance frequency shift; Stress corrosion cracking
Roadmap on biological pathways for electronic nanofabrication and materials,Agricultural robots; Biological systems; DNA; Nanotechnology; Semiconductor device manufacture; Semiconductor materials; Biofabrication; Emerging technologies; Information processing architecture; Microchip fabrication; Nanometer scale structure; Roadmap; Semiconductor industry; Semiconductor technology; Energy utilization
Impact of soft errors on large-scale FPGA cloud computing,Cloud computing; Crime; Error correction; Failure analysis; Logic gates; Radiation hardening; System stability; Cloud computing environments; Fault injection; FPGA applications; Mitigation techniques; Radiation-induced; Silent data corruptions; Soft error detection; Traditional computing; Field programmable gate arrays (FPGA)
On-chip FPGA debug instrumentation for machine learning applications,Application programs; Integrated circuit design; Logic gates; Machine learning; Program debugging; Design spaces; Domain-specific information; Latency costs; Low area; Machine learning applications; Runtimes; Software model; Target systems; Field programmable gate arrays (FPGA)
Measuring the transverse Young's modulus of maize rind and pith tissues,"Computerized tomography; Elastic moduli; Histology; Stiffness; Stress analysis; Testing; Tissue; Tissue engineering; Computed tomography data; Specific finite element; Structural response; Testing configurations; Tissue properties; Transverse compression; Transverse Young's modulus; X-ray computed tomography; Finite element method; article; compression; geometry; human tissue; maize; nonhuman; rigidity; stress; x-ray computed tomography; biomechanics; finite element analysis; mechanical stress; physiology; Young modulus; Biomechanical Phenomena; Elastic Modulus; Finite Element Analysis; Stress, Mechanical; Zea mays"
Configuration estimation for accurate position control of large-scale soft robots,Calibration; Estimation; Kinematics; NASA; Position control; Rhenium alloys; Robotics; Sensors; Configuration estimation; Configuration estimation methods; Global measurements; Measurement system; Orientation measurements; Outdoor environment; Position and orientations; Soft robotics; End effectors
Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,Atmospheric temperature; Heat flux; Heat transfer; Lakes; Mass transfer; Microstructure; Natural convection; Nucleation; Surface properties; Surface structure; Thermocouples; Air bubble formation; Constant surface temperatures; Convection coefficients; Heat and mass transfer; Structured surfaces; Super-hydrophobic surfaces; Superhydrophobic; Surface temperatures; Hydrophobicity
Target control and source estimation metrics for dynamical networks,Control systems; Electrical engineering; Dynamical networks; Graph-theoretic; Remote measurement; Source estimation; Target nodes; Graph theory
Surveying the Landscape: Statewide Data on K-12 CS Education Implementation,Curricula; School buildings; Surveys; CS education; Elementary schools; High level description; Local expectations; Open-ended questions; Public school districts; Public schools; Student enrollments; Teaching
Dynamics of a capsule flowing in a tube under pulsatile flow,Boundary element method; Deformation; Pulsatile flow; Sailing vessels; Splines; Deformable capsule; Discretizations; Hydrodynamical equations; Hyperelastic membranes; Mean velocities; Mechanical characteristics; Relative rigidity; T-splines; Time domain analysis; alginic acid; Article; bioengineering; dynamics; microcapsule; oscillation; priority journal; pulsatile flow; rigidity; surface area; surface property; velocity; hydrodynamics; mechanics; microcapsule; Capsules; Hydrodynamics; Mechanical Phenomena; Pulsatile Flow
Failure time distributions for complex equipment,Failure analysis; Complex repairable systems; Component distributions; Component failures; Drenick's theorem; Exponential distributions; Failure-time distribution; Mutually independents; Simulation studies; Large scale systems
An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,Dipole antennas; Directive antennas; Electromagnetic waves; Magnetic resonance imaging; Receiving antennas; Array antennas; element-gain paradox; Loaded antennas; Mutual coupling; Poynting streamlines; Shape; Antenna arrays
A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,Capacitance; Capacitors; Computer architecture; Computer circuits; Digital to analog conversion; Electric power utilization; Logic gates; Switches; DAC layout; DAC settling; Delays; Power demands; SAR ADC; timing scheme; Analog to digital conversion
Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,Artificial intelligence; Brittle fracture; Computation theory; Crack propagation; Graph theory; Learning systems; Brittle cracks; Computational challenges; Crack interaction; Crack propagation simulations; Graph theoretic algorithm; Graph theoretic approach; High fidelity models; Reduced order models; Cracks
Necessary and Sufficient Conditions on State Transformations That Preserve the Causal Structure of LTI Dynamical Networks,Dynamic network; Dynamical networks; Dynamical structure; Linear time invariant; On state; State space realization; State transformation; Control engineering
"Dynamic Networks: Representations, Abstractions, and Well-Posedness",Control engineering; Dynamic network; Multi resolution representation; Multiresolution model; Network representation; Structural details; Wellposedness; Abstracting
Alpha Model Domination in Multiple Choice Learning,Classification (of information); Machine learning; Neural networks; Stochastic systems; Alpha model; Classification datasets; Ensemble members; Ensembles; Loss functions; Multiple choice; Training time; Learning algorithms
Static structures in leaky mode waveguides,
Origami fold states: Concept and design tool,
Geometrically Motivated Reparameterization for Identifiability Analysis in Power Systems Models,Computational geometry; Identification (control systems); Mapping; Boundary approximation methods; Computational differential geometry; Model reduction; Parameter identifiability; Power system model; Parameter estimation
Product development: Principles and tools for creating desirable and transferable designs,
"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",Computation theory; Electric batteries; Model predictive control; Predictive control systems; Propulsion; Systems analysis; Unmanned aerial vehicles (UAV); Battery optimization; Blade element momentum theory; Fixed point iteration; High altitude long endurances; Nonlinear model predictive control; Optimization framework; Optimization of propulsion; Trajectory optimization; Flight paths
The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,Antennas; Aviation; Maneuverability; Unmanned aerial vehicles (UAV); Amount of information; Dimensionalization; Domain size; One-time; Search performance; Time step; Time-efficient methods; Vehicle location; Vehicle performance
Simulating stall inception in a high-performance fan using createt m-av kestrel,Unsteady flow; Acquisition tools; Computational researches; Inlet conditions; Operating condition; Physical process; Stall inception; Tip clearance flow; Unsteady interaction; Computational fluid dynamics
