TitleID,Authors,Title,Source title,Proceeding,Volume,Paper Area,Type,Conference Type,Paper Type,Approval,Chair_or_Editor1,Chair_or_Editor2
112,"Cannon M.J., Keller A.M., Thurlow C.A., Perez-Celis A., Wirthlin M.J.",Improving the Reliability of TMR with Nontriplicated I/O on SRAM FPGAs,"ASEE Annual Conference and Exposition, Conference Proceedings",67,,Fault tolerant computer systems; Ionizing radiation; Logic gates; Neutron scattering; Radiation effects; Radiation hardening; Redundancy; Configuration scrubbing; Fault injection; Radiation testing; Single event effects; Single event upsets; Single point failure; Triple modular redundancy; Field programmable gate arrays (FPGA); Machine learning,Conference,Workshop,Short Paper,Yes,Chair 7,Chair 8
113,"Perez-Celis A., Wirthlin M.J.",Statistical method to extract radiation-induced multiple-cell upsets in SRAM-Based FPGAs,Proceedings of SPIE - The International Society for Optical Engineering,67,,Error correction; Logic gates; Microcontrollers; Radiation effects; Radiation protection; Statistical methods; Error correction codes; Multiple bit upset; Multiple cell upset; Physical layout; Radiation testing; Radiation tests; Radiation-induced; Single event effects; Field programmable gate arrays (FPGA); Databases,Conference,Expert Group,Poster,Yes,Chair 5,Chair 6
114,"Gregg J.F., Anderson B.E., Remillieux M.C.",Electromagnetic excitation technique for nonlinear resonant ultrasound spectroscopy,Proceedings of the ASME Design Engineering Technical Conference,109,,Magnetic fields; Nondestructive examination; Piezoelectricity; Spectroscopy; Transducers; Ultrasonic applications; Vibrations (mechanical); Electromagnetic excitations; Electromagnetic techniques; Electromagnetic transducer; Non destructive evaluation; Non-linear parameters; Nonlinear resonant ultrasound spectroscopies; Resonance frequencies; Selective excitations; Electric excitation,Conference,Regular Conference,Demo Paper,Yes,Chair 1,Chair 2
115,"Bilancia P., Berselli G., Magleby S., Howell L.",On the modeling of a contact-aided cross-axis flexural pivot,IEEE Transactions on Antennas and Propagation,,143,Aspect ratio; Computational efficiency; Computer programming; Mechanisms; Stiffness; Constraint model; Contact-aided compliant mechanisms; Cross-Axis Flexural Pivot; Geometrical aspects; Numerical results; Preliminary design; Rotational stiffness; Software frameworks; MATLAB; Machine learning,Journal,,Demo Paper,Yes,Editor 1,Editor 2
116,"Park J., Price C., Pixton D., Aghito M., Nybø R., Bjørkevoll K., Hedengren J.D.",Model predictive control and estimation of managed pressure drilling using a real-time high fidelity flow model,Proceedings of SPIE - The International Society for Optical Engineering,69,,Controllers; Infill drilling; Oil well drilling; Controller models; Feedback measurements; High fidelity models; Highly accurate; Managed Pressure Drilling; Physical systems; Simulation studies; System modeling; Model predictive control,Conference,Expert Group,Short Paper,Yes,Chair 5,Chair 6
117,"Leete K.M., Gee K.L., Liu J., Wall A.T.",Coherence analysis of the noise from a simulated highly heated laboratory-scale jet,"ASEE Annual Conference and Exposition, Conference Proceedings",58,,Acoustic noise measurement; Afterburners (engine); Large eddy simulation; Military aircraft; Shear flow; Afterburning; Coherence analysis; High temperature ratio; Large Eddy simulation methods; Measurements of; Noise production; Shear layer; Transfer information; Jet aircraft; Databases,Conference,Workshop,Poster,Yes,Chair 7,Chair 8
118,"Schultz G.G., Galvez de Leon P., Shahandashti S.K.F., Chamberlin R.",Measuring Compliance of Driver Yielding at Enhanced Pedestrian Crossings in Utah,"ASEE Annual Conference and Exposition, Conference Proceedings",,,Crosswalks; Footbridges; Traffic signals; Fatality rates; High intensity; Safety impact; Safety measures; Speed limit; Technological enhancement; Utah department of transportations; Pedestrian safety; Natural language processing,Conference,Workshop,Full Paper,No,Chair 7,Chair 8
119,"Liu L., Diao J., Warnick K.F.",Array Antenna Gain Enhancement with the Poynting Streamline Method,International Journal of Heat and Mass Transfer,,19,Dipole antennas; Electromagnetic waves; Receiving antennas; Effective area; Gain enhancement; Minimum scattering antennas; Parasitic element; Poynting vectors; Antenna arrays; Machine learning,Journal,,Demo Paper,Yes,Editor 5,Editor 6
120,"Eckhardt B., Doering C.R., Whitehead J.P.",Exact relations between Rayleigh-Bénard and rotating plane Couette flow in two dimensions,"ASEE Annual Conference and Exposition, Conference Proceedings",104,,Angular momentum; Dynamical systems; Momentum transfer; Reynolds equation; Reynolds number; Turbulent flow; Azimuthal momentum; Free-slip boundary conditions; Full three-dimensional; Independent variables; Momentum transports; Plane Couette flow; Taylor Couette flow; Velocity components; Shear flow,Conference,Workshop,Demo Paper,Yes,Chair 7,Chair 8
121,"Ellingson G., Brink K., McLain T.",Cooperative relative navigation of multiple aircraft in global positioning system-denied/degraded environments,Optics InfoBase Conference Papers,17,,Ability testing; Air navigation; Aircraft; Data Sharing; Monte Carlo methods; Navigation; Cooperative operation; Coordinated resets; Expected improvements; Formation flying; Global navigation; GPS-denied navigations; Relative navigation; Sharing information; Global positioning system; Databases,Conference,Symposium,Short Paper,Yes,Chair 3,Chair 4
122,"Huang Z., Du X., Chen L., Li Y., Liu M., Chou Y., Jin L.",Convolutional Neural Network Based on Complex Networks for Brain Tumor Image Classification with a Modified Activation Function,"ASEE Annual Conference and Exposition, Conference Proceedings",8,,Brain; Chemical activation; Complex networks; Computer aided diagnosis; Convolution; Graph algorithms; Graph structures; Image classification; Magnetic resonance imaging; Tumors; Activation functions; Brain tumor classifications; Brain tumors; Clinical experience; Computer assisted diagnosis; Network structures; Neural network designs; Convolutional neural networks; Databases,Conference,Workshop,Poster,Yes,Chair 7,Chair 8
123,"James B., Quinn H., Wirthlin M., Goeders J.",Applying Compiler-Automated Software Fault Tolerance to Multiple Processor Platforms,Proceedings of SPIE - The International Society for Optical Engineering,67,,Automation; Commercial off-the-shelf; Fault tolerance; Fault tolerant computer systems; Radiation hardening; Software testing; System-on-chip; Cache configurations; Mitigation techniques; Silent data corruption (SDC); Single event upsets; Soft error; Software fault tolerances; Software protection; Triple modular redundancy; Program compilers,Conference,Expert Group,Poster,Yes,Chair 5,Chair 6
124,"Ling M., Howell L.L., Cao J., Chen G.",Kinetostatic and dynamic modeling of flexure-based compliant mechanisms: A survey,International Journal of Heat and Mass Transfer,,,Compliant mechanisms; Mechanisms; Precision engineering; Surveys; Future challenges; Kinetostatic; Large deflection; Mechanical behavior; Model approach; Paper surveys; Serial parallels; State of the art; Dynamics; Databases,Journal,,Short Paper,No,Editor 5,Editor 6
125,"Wilson P.S., Knobles D.P., Neilsen T.B.",Guest editorial an overview of the seabed characterization experiment,IEEE Transactions on Nuclear Science,,45,Databases,Journal,,Full Paper,Yes,Editor 3,Editor 4
126,"Manring L., Pederson J., Potts D., Boardman B., Mascarenas D., Harden T., Cattaneo A.",Augmented Reality for Interactive Robot Control,Proceedings of the International Telemetering Conference,,,Augmented reality; Dynamics; End effectors; Feedback; Holograms; Holographic displays; Man machine systems; Manipulators; Manual control; Motion planning; Process control; Robotic arms; Robotics; Structural dynamics; Complex operations; Force feedback; Human supervision; Interactive robot; Joy-stick interfaces; MicroSoft; Robot control systems; Robotic manipulators; Robot programming,Conference,Regular Conference,Short Paper,No,Chair 9,Chair 10
127,"Samuelson C.R., Duffy-Deno C.A., Whitworth C.B., Mascareñas D.D.L., Tippmann J.D., Cattaneo A.",Visio-acoustic data fusion for structural health monitoring applications,Geotechnical Special Publication,,69,Acoustic arrays; Acoustic measuring instruments; Acoustic noise measurement; Costs; Data fusion; Machinery; Recovery; Structural dynamics; Video recording; Acoustic measurements; Acoustic techniques; Frequency contents; Information contents; Safety and securities; Spatial resolution; Structural health; Vibrational information; Structural health monitoring,Journal,,Demo Paper,Yes,Editor 7,Editor 8
128,"Qu Y., Shu W., Qiu L., Kuan Y., Chiang S.W., Chang J.S.",A Low-Profile High-Efficiency Fast Battery Charger With Unifiable Constant-Current and Constant-Voltage Regulation,"ASEE Annual Conference and Exposition, Conference Proceedings",72,,Charging time; Efficiency; System buses; Voltage regulators; Battery chargers; Constant current; Constant current and constant voltages; Hardware implementations; Output inductors; Power efficiency; State of the art; Universal serial bus; Secondary batteries,Conference,Workshop,Full Paper,Yes,Chair 7,Chair 8
129,"Bopp D.G., Taylor E., Le K., Schima S., Hummon M.T., Kitching J.",Atomic flux circuits,Proceedings of SPIE - The International Society for Optical Engineering,11296,,Atomic beams; Atoms; Frequency standards; Microfabrication; Quantum optics; Timing circuits; Ballistic trajectories; Equivalent electrical circuit model; Experimental parameters; Magnetooptical traps; Micro-fabrication techniques; Optical frequency standard; Precision metrology; Precision spectroscopy; Crystal atomic structure; Databases,Conference,Expert Group,Poster,Yes,Chair 5,Chair 6
130,"Remillieux M.C., Kaoumi D., Ohara Y., Stuber Geesey M.A., Xi L., Schoell R., Bryan C.R., Enos D.G., Summa D.A., Ulrich T.J., Anderson B.E., Shayer Z.","Detecting and imaging stress corrosion cracking in stainless steel, with application to inspecting storage canisters for spent nuclear fuel",International Journal of Heat and Mass Transfer,,109,Fuel storage; Imaging techniques; Localized corrosion; Nondestructive examination; Nuclear fuels; Radioactive materials; Residual stresses; Steel corrosion; Ultrasonic testing; Austentic stainless steels; Long term performance; Non destructive testing; Nonlinear resonant ultrasound spectroscopies; Rectangular samples; Spent nuclear fuels; Synchrotron x ray diffraction; Ultrasonic C-scan; Stress corrosion cracking; Machine learning,Journal,,Short Paper,Yes,Editor 5,Editor 6
131,"Cabas A., Beyzaei C., Franke K., Koehler R., Pierce I., Stuedlein A., Yang Z., Christie S.",Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,Proceedings of SPIE - The International Society for Optical Engineering,2020-February,,Anchorages (foundations); Antennas; Earthquake engineering; Geotechnical engineering; Landslides; Outages; Structural analysis; Aerial reconnaissance; Alaska earthquakes; Moment magnitudes; Northridge earthquakes; Peak ground acceleration; Residential building; Slope deformation; Structural damages; Earthquakes; Databases,Conference,Expert Group,Full Paper,Yes,Chair 5,Chair 6
132,"Tucker A.L., Zheng S., Gardner J.W., Bohn R.E.",When do workarounds help or hurt patient outcomes? The moderating role of operational failures,International Journal of Heat and Mass Transfer,,66,Health risks; Nursing; Surveying; Surveys; Health care costs; Health care providers; Hospital costs; Medical errors; Operational failures; Patient health; Quality of care; workarounds; Hospitals; Databases,Journal,,Full Paper,Yes,Editor 5,Editor 6
133,"Sacchi C., Schlegel C., Rossi T., Noble M., Ruggieri M., Cheung K.-M., Marchese M., Granelli F., Popescu V., Rice M., Murroni M., Conci N.",Glue Technologies for Space Systems: An Introduction to a New AESS Technical Panel,Proceedings of SPIE - The International Society for Optical Engineering,,,Glues; SPACE system; Gluing,Conference,Expert Group,Full Paper,No,Chair 5,Chair 6
134,"Allen M., Shahgholian H.",A New Boundary Harnack Principle (Equations with Right Hand Side),Proceedings of the ASME Design Engineering Technical Conference,234,,Machine learning,Conference,Regular Conference,Full Paper,Yes,Chair 1,Chair 2
135,"Hunt J.P., Zhao E.L., Soltani M., Frei M., Nelson J.A.D., Bundy B.C.",Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase,Proceedings of the International Telemetering Conference,4,,asparaginase; cell extract; clearcoli cell extract; unclassified drug; Article; bacterium culture; cell free system; drug approval; Escherichia coli; extraction; Food and Drug Administration; leukemia; nonhuman; protein expression; protein synthesis; Databases,Conference,Regular Conference,Full Paper,Yes,Chair 9,Chair 10
136,"Greenwood J.R., Magleby S.P., Howell L.L.",Developable mechanisms on regular cylindrical surfaces,Proceedings of the ASME Design Engineering Technical Conference,142,,Mechanical engineering; Mechanisms; Cylindrical surface; Developable surfaces; Engineering models; Four bar; Graphical methods; Kinematic Analysis; Morphing; Spatial restrictions; Machine design; Natural language processing,Conference,Regular Conference,Demo Paper,Yes,Chair 1,Chair 2
137,"Fanning D.T., Gorrell S.E., Maynes D., Oliphant K.",Contributions of Tip Leakage and Inlet Diffusion on Inducer Backflow,"ASEE Annual Conference and Exposition, Conference Proceedings",141,,Computational fluid dynamics; Vortex flow; Backflow structure; Comprehensive analysis; Computational fluid dynamics simulations; Flow recirculation; Fundamental mechanisms; Low flow condition; Tip clearance; Tip leakage flow; Cavitation; Natural language processing,Conference,Workshop,Full Paper,Yes,Chair 7,Chair 8
138,"Goates C.B., Calton M.F., Sommerfeldt S.D., Copley D.C.",Modeling acoustic resonators using higher-order equivalent circuits,Proceedings of the ASME Design Engineering Technical Conference,67,,Acoustic impedance; Acoustic resonators; Timing circuits; Classical model; Helmholtz resonators; Higher-order; Lumped element equivalent circuit; One-dimensional wave equations; Resonance frequencies; Resonator coupling; Side branches; Equivalent circuits,Conference,Regular Conference,Demo Paper,Yes,Chair 1,Chair 2
139,"Smith R., Rosen J., Ventura D.","Adapting standard external clustering metrics for repetitive, noisy observations",Geotechnical Special Publication,,122,Machine learning; Mass spectrometry; Petroleum reservoir evaluation; Clustering; Clustering evaluation; Clustering problems; Explicit treatments; External metrics; Gold standards; Noise; Noisy observations; Cluster analysis,Journal,,Short Paper,Yes,Editor 7,Editor 8
140,"Sisodia S.M., Bull D.J., George A.R., Gamstedt E.K., Mavrogordato M.N., Fullwood D.T., Spearing S.M.",The effects of voids in quasi-static indentation of resin-infused reinforced polymers,Proceedings of the ASME Design Engineering Technical Conference,53,,Carbon fiber reinforced plastics; Carbon fibers; Computerized tomography; Cracks; Polymers; Porosity; Reinforcement; Resin transfer molding; Resins; Wool; Yarn; Carbon fibre reinforced polymer; Damage mechanics; Delamination growth; Out-of-plane loading; Quasi-static indentation; Quasi-static loading; Reinforced polymers; Tomographic imaging; Loading; Machine learning,Conference,Regular Conference,Demo Paper,Yes,Chair 1,Chair 2
141,"Taus M., Rodin G.J., Hughes T.J.R., Scott M.A.","Isogeometric boundary element methods and patch tests for linear elastic problems: Formulation, numerical integration, and applications","ASEE Annual Conference and Exposition, Conference Proceedings",357,,Algebra; Boundary value problems; Computer aided design; Elasticity; Integration; Laplace transforms; Number theory; Numerical methods; Sailing vessels; Collocation; Isogeometric analysis; Linear elasticity; Patch tests; T-splines; Boundary element method,Conference,Workshop,Full Paper,Yes,Chair 7,Chair 8
142,"Searle H., Gomes M.A.C., Vilela J.P., Harrison W.K.",Irregular quadrature amplitude modulation for adaptive physical-layer security,International Journal of Heat and Mass Transfer,,146,Decoding; Signal to noise ratio; Channel conditions; Coset coding; Interleaved coding; Physical layer security; Physical-layer securities; Quadrature-amplitude modulations (QAM); Security gap; Wireless transmission scheme; Quadrature amplitude modulation; Databases,Journal,,Full Paper,Yes,Editor 5,Editor 6
143,"Nyshadham C., Rupp M., Bekker B., Shapeev A.V., Mueller T., Rosenbrock C.W., Csányi G., Wingate D.W., Hart G.L.W.",Machine-learned multi-system surrogate models for materials prediction,Optics InfoBase Conference Papers,5,,Binary alloys; Cobalt alloys; Copper alloys; Crystal structure; Errors; Forecasting; Iron alloys; Learning algorithms; Learning systems; Magnesium alloys; Niobium alloys; Silver alloys; Titanium alloys; Vanadium alloys; Ab initio method; Computational costs; Computational materials science; Formation enthalpy; Machine learning models; Predicting properties; Prediction errors; State of the art; Aluminum alloys,Conference,Symposium,Short Paper,Yes,Chair 3,Chair 4
144,"Kamminga J.W., Jones M., Seppi K., Meratnia N., Havinga P.J.M.",Synchronization between sensors and cameras in movement data labeling frameworks,Proceedings of SPIE - The International Society for Optical Engineering,148,,Cameras; Labeling; Synchronization; Activity recognition; Annotating; Labor intensive; Multiple recordings; Multiple sensors; Video; Video and datum; Visual indicators; Data acquisition,Conference,Expert Group,Full Paper,Yes,Chair 5,Chair 6
145,"Mahmood A., Jensen M.A.",Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,IEEE Transactions on Antennas and Propagation,,67,Calibration; Cryptography; Feedback control; Network layers; Telecommunication repeaters; Nonreciprocal circuits; Operational parameters; Propagation channels; Radio frequency circuitries; Reciprocity principle; Secret key generations; security; Total least squares; MIMO systems; Databases,Journal,,Short Paper,Yes,Editor 1,Editor 2
146,"Johnston J.D., Cowger A.E., Graul R.J., Nash R., Tueller J.A., Hendrickson N.R., Robinson D.R., Beard J.D., Weber K.S.","Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",International Journal of Heat and Mass Transfer,,29,"beta glucan; beta-1,3-D-glucan; endotoxin; air conditioning; animal; climate; cross-sectional study; dust; housing; human; indoor air pollution; poverty; procedures; Pyroglyphidae; Utah; volatilization; Air Conditioning; Air Pollution, Indoor; Animals; beta-Glucans; Climate; Cross-Sectional Studies; Dust; Endotoxins; Housing; Humans; Poverty; Pyroglyphidae; Utah; Volatilization; Machine learning",Journal,,Full Paper,Yes,Editor 5,Editor 6
147,"Mulford R.B., Jones M.R., Iverson B.D.","Heat transfer, efficiency and turn-down ratio of a dynamic radiative heat exchanger",IEEE Transactions on Nuclear Science,,143,Efficiency; Geometry; Heat transfer; Hinges; Irradiation; Temperature control; Conduction radiations; Design and optimization; Environmental change; Geometric manipulation; Temperature profiles; Thermal conductance; Thermal control systems; Thermal environment; Heat exchangers; Machine learning,Journal,,Short Paper,Yes,Editor 3,Editor 4
148,"Josephson C., Perrins E., Rice M.",Space-Time Coded ARTM CPM for Aeronautical Telemetry,IEEE Transactions on Nuclear Science,,2019-November,"Antennas; Bit error rate; Block codes; Military communications; Space-time block coding (STBC); Telemetering equipment; Aeronautical telemetry; BER performance; Bit error rate (BER) performance; Orthogonal space-time block codes; Orthogonal space-time blocks; Single input , single outputs; Space time; State space partitions; Space time codes; Databases",Journal,,Full Paper,Yes,Editor 3,Editor 4
149,"Guo Z., Zhang M., Lee D.-J.",Efficient evolutionary learning algorithm for real-time embedded vision applications,Proceedings of the ASME Design Engineering Technical Conference,8,,Databases,Conference,Regular Conference,Full Paper,Yes,Chair 1,Chair 2
150,"Ruoti S., Seamons K.",Johnny's Journey Toward Usable Secure Email,"ASEE Annual Conference and Exposition, Conference Proceedings",17,,Computer networks; Electrical engineering; General publics; Key management; Usable security; Electronic mail; Databases,Conference,Workshop,Full Paper,Yes,Chair 7,Chair 8
151,"Paré P.E., Grimsman D., Wilson A.T., Transtrum M.K., Warnick S.",Model Boundary Approximation Method as a Unifying Framework for Balanced Truncation and Singular Perturbation Approximation,Optics InfoBase Conference Papers,64,,Approximation theory; Invariance; Linear systems; Nonlinear systems; Parameterization; Time varying control systems; Topology; Balanced singular perturbation approximations; Balanced truncation; Boundary approximation methods; Linear time invariant systems; Model parameterization; Model reduction; Model reduction techniques; Singular perturbation approximation; Approximation algorithms,Conference,Symposium,Poster,Yes,Chair 3,Chair 4
152,"Miao X., Chu H., Liu H., Yang Y., Li X.",Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,Proceedings of the International Telemetering Conference,79,,Graphic methods; Image communication systems; Regression analysis; Scales (weighing instruments); Image gradients; Image quality assessment; Local binary patterns; No references; Phase congruency; Image quality; Databases,Conference,Regular Conference,Full Paper,Yes,Chair 9,Chair 10
153,"Sargent B., Brown N., Jensen B.D., Magleby S.P., Pitt W.G., Howell L.L.",Heat set creases in polyethylene terephthalate (PET) sheets to enable origami-based applications,IEEE Transactions on Antennas and Propagation,,28,Annealing; Compliant mechanisms; Crystallinity; Mechanisms; Polyethylene terephthalates; Processing; Annealing temperatures; Annealing time; Engineering design; Force response; origami; Polyethylene terephthalates (PET); Processing method; Traditional engineerings; Plastic bottles; Databases,Journal,,Full Paper,Yes,Editor 1,Editor 2
154,"Pires dos Santos R., Dean D.L., Weaver J.M., Hovanski Y.",Identifying the relative importance of predictive variables in artificial neural networks based on data produced through a discrete event simulation of a manufacturing environment,Proceedings of SPIE - The International Society for Optical Engineering,39,,Data mining; Neural networks; Artificial neural network models; Connection weights; Historical records; Input variables; Manufacturing environments; Operating condition; Predictive variables; Process characteristics; Discrete event simulation; Natural language processing,Conference,Expert Group,Full Paper,Yes,Chair 5,Chair 6
155,"Ashcraft C.C., Goodrich M.A., Crandall J.W.",Moderating operator influence in human-swarm systems,IEEE Transactions on Antennas and Propagation,,2019-October,Machine design; Robots; Collective robots; Human influences; Human operator; Large parts; Operator influence; Robot swarms; Swarm behavior; Swarm systems; Swarm intelligence; Databases,Journal,,Demo Paper,Yes,Editor 1,Editor 2
156,"Shaikh M.T., Goodrich M.A.",Intent-based robotic path-replanning: When to adapt new paths in dynamic environments,Proceedings of the International Telemetering Conference,2019-October,,Graphical user interfaces; Motion planning; Dynamic environments; Environment change; Human-robot collaboration; Interactive graphical user interface; On-line path planning; Path re-planning; Performance objective; Robot navigation; Robots; Natural language processing,Conference,Regular Conference,Demo Paper,Yes,Chair 9,Chair 10
157,"Ogles B., Aldous P., Mercer E.",Proving data race freedom in task parallel programs using a weaker partial order,Proceedings of the International Telemetering Conference,157,,Computer aided design; Computer software; Equivalence classes; Formal methods; Model checking; Parallel programming; Data race detection; Java PathFinder; Mechanized proofs; Model checker; Parallel program; Program execution; Sound and complete; Task parallel; Java programming language,Conference,Regular Conference,Poster,Yes,Chair 9,Chair 10
158,"Bingham E., Edward Gibson G., El Asmar M.",Identifying Team Selection and Alignment Factors by Delivery Method for Transportation Projects,IEEE Transactions on Antennas and Propagation,,145,Alignment; Environmental impact; Human resource management; Construction manager; Design-build projects; Industry professionals; Project complexity; Project delivery method; Project experiences; Public involvement; Transportation projects; Project management; Databases,Journal,,Full Paper,Yes,Editor 1,Editor 2
159,"Rice M., Hogstrom C., Afran M.S., Saquib M.",On Sparse Channel Estimation in Aeronautical Telemetry,Proceedings of SPIE - The International Society for Optical Engineering,55,,Bit error rate; Equalizers; Frequency allocation; Frequency estimation; Maximum likelihood estimation; Quadrature phase shift keying; Telemetering; Telemetering equipment; Continuous phase modulation; equalization; Frequency selective multipath; Matching pursuit algorithms; SOQPSK; Sparse channel estimations; Channel estimation,Conference,Expert Group,Demo Paper,Yes,Chair 5,Chair 6
160,"Svenda V.G., Stankovic A.M., Saric A.T., Transtrum M.K.",Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,IEEE Transactions on Nuclear Science,,82,Distribution functions; Observability; State estimation; Communication parameters; Cosimulation; Empirical cumulative distribution functions; Hybrid power systems; Network observability; Power system networks; Probabilistic network; Realistic communication; Phasor measurement units,Journal,,Short Paper,Yes,Editor 3,Editor 4
161,"Francis B.L., Nuttall J.R., Transtrum M.K., Saric A.T., Stankovic A.M.",Network Reduction in Transient Stability Models using Partial Response Matching,Proceedings of the ASME Design Engineering Technical Conference,124,,Algebra; Differential equations; Identification (control systems); Parameter estimation; Differential algebraic equations; Dynamic power systems; Information geometry; Networked systems; Partial observation; Reduced order systems; System measurement; Transient stability models; Transients; Databases,Conference,Regular Conference,Poster,Yes,Chair 1,Chair 2
162,"Nelson T.G., Avila A., Howell L.L., Herder J.L., Machekposhti D.F.",Origami-inspired sacrificial joints for folding compliant mechanisms,Geotechnical Special Publication,,140,Mechanisms; Applied origami; Complex 3D geometry; Cost-sensitive; Folding; Folding technique; Manufacturing methods; Compliant mechanisms,Journal,,Full Paper,Yes,Editor 7,Editor 8
163,"Franke K.W., Candia G., Mayoral J.M., Wood C.M., Montgomery J., Hutchinson T., Morales-Velez A.C.",Observed building damage patterns and foundation performance in Mexico City following the 2017 M7.1 Puebla-Mexico City earthquake,Optics InfoBase Conference Papers,125,,Buildings; Earthquakes; Foundations; Mapping; Soils; Structural design; Building damage; Building performance; Engineering reconnaissance; Foundation deformation; Foundation performance; Site response; Strong ground motion; Structural resonance; Seismic response; comparative study; deformation; earthquake damage; earthquake event; foundation; ground motion; seismic design; soil-structure interaction; structural response; Federal District [Mexico]; Mexico City; Mexico [North America],Conference,Symposium,Full Paper,Yes,Chair 3,Chair 4
164,"Fagergren F., Sypherd S., Snow D., Cunningham A., Jensen B.",Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,Proceedings of SPIE - The International Society for Optical Engineering,,,Bridge decks; Density (specific gravity); MEMS; Nondestructive examination; Raman spectroscopy; Stiffness; Bending moduli; Carbon material; Destructive testing; Effective materials; Emerging materials; Maximum stiffness; Micro electromechanical system (MEMS); Non destructive testing; Carbon nanotubes; Databases,Conference,Expert Group,Demo Paper,No,Chair 5,Chair 6
165,"Neff C., Nussbaum J., Gardiner C., Crane N.B., Zunino J.L., Newton M.",Mechanical and temperature resilience of multi-material systems for printed electronics packaging,International Journal of Heat and Mass Transfer,,4,3D printers; Cylinders (shapes); Electron devices; Environmental technology; Environmental testing; Failure (mechanical); Polyamides; Rayon; Sintering; Thermal expansion; Thermal shock; Area projection; Conductive ink; Environmental conditions; Extreme temperatures; Printed electronics; Strength failures; Temperature cycling; Thermal expansion mismatch; Electronics packaging,Journal,,Demo Paper,Yes,Editor 5,Editor 6
166,"Lyman C.A., Clement M., Craddock T.J.A., Fletcher M., Klimas N.G., Broderick G.",Feedback regulation of immune response to maximum exercise in Gulf war illness,IEEE Transactions on Nuclear Science,,77,Bioinformatics; Diseases; Dynamics; Feedback control; Medical informatics; Proportional control systems; Transfer functions; Two term control systems; Dynamic characteristics; Exercise response; Gulf War; Homeostatic regulations; Oscillatory behaviors; Principal Components; Proportional integral derivative controllers; Response parameters; Feedback; Control Systems; Diseases; Dynamics; Feedback Control; Patterns; Persian Gulf; Processes; Transfer Functions; Databases,Journal,,Short Paper,Yes,Editor 3,Editor 4
167,"Knighton B.E., Nielson M., Johnson C.L., Rawlings L., Alejandro A., Hardy R.T., Moss C.D., Johnson J.A.",Examining Nonlinear Terahertz Photonic and Phononic Excitation with Two-Dimensional Spectroscopy,Proceedings of the ASME Design Engineering Technical Conference,2019-September,,Terahertz waves; Broadband terahertz; Centrosymmetric crystals; Nonlinear excitation; Raman active modes; Solid systems; Terahertz photonics; Thz spectroscopy; Two Dimensional (2 D); Terahertz spectroscopy,Conference,Regular Conference,Poster,Yes,Chair 1,Chair 2
168,"Knighton B.E., Nielson M., Rawlings L., Alejandro A., Hardy R.T., Johnson J.A.",Direct Comparison between Multi-Dimensional Terahertz Vibrational Spectroscopies,IEEE Transactions on Nuclear Science,,2019-September,Barium compounds; Degrees of freedom (mechanics); Energy transfer; Terahertz waves; Anharmonic couplings; Beta barium borate; Coherent Energy Transfer; Excitation pathways; Nonlinear excitation; Raman measurements; Transmission measurements; Vibrational excitation; Terahertz spectroscopy; Databases,Journal,,Full Paper,Yes,Editor 3,Editor 4
169,"Searle M., Crockett J., Maynes D.",Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,"ASEE Annual Conference and Exposition, Conference Proceedings",140,,Heat convection; Jets; Liquids; Nusselt number; Ordinary differential equations; Prandtl number; Reynolds number; Surface properties; Convective heat transfer; Isoflux; Jet impingement; Slip length; Super-hydrophobic surfaces; Temperature jump; Hydrophobicity,Conference,Workshop,Poster,Yes,Chair 7,Chair 8
170,"Miao X., Lee D.-J.",Just-noticeable difference binary pattern for reduced reference image quality assessment,Geotechnical Special Publication,,58,Benchmarking; Graphic methods; Image quality assessment; Image Structures; Just-noticeable difference; Local binary patterns; Reduced reference; Image quality,Journal,,Demo Paper,Yes,Editor 7,Editor 8
171,"Amin M.N., Hamblin M., Meena G.G., Hawkins A.R., Schmidt H.",Free Space Excitation in Optofluidic Devices for Single Particle Detection,"ASEE Annual Conference and Exposition, Conference Proceedings",33,,Milling (machining); Photonics; Waveguides; Free spaces; Liquid core waveguide; Metal layer; Milling depth; Optofluidic; Optofluidic devices; Single particle detection; Waveguide channels; Signal to noise ratio; Databases,Conference,Workshop,Full Paper,Yes,Chair 7,Chair 8
172,"Meena G.G., Brown O., Hanson R., Wood R.L., Pitt W.G., Woolley A.T., Robison R., Hawkins A.R., Schmidt H.",Multiplexed Detection of Single Antibiotic Drug-Resistant Plasmids using Multimode Interference Waveguide Based Optofluidic Chip,"ASEE Annual Conference and Exposition, Conference Proceedings",189,,Antibiotics; Nucleic acids; Photonics; Acid sensitivities; Antibiotic drugs; Liquid core waveguide; Multi-mode interference; Multiplexed detection; Optofluidic; Spot pattern; Waveguides,Conference,Workshop,Full Paper,Yes,Chair 7,Chair 8
