Author_Name,Affiliation
Klimas N.G.,"Dept. of Clinical Immunology, Inst. for Neuroimmune Medicine, Nova Southeastern University, Fort Lauderdale, FL, United States, Miami Veterans Affairs Medical Center, Miami, FL, United States"
Knezevic M.,"Department of Mechanical Engineering, University of New Hampshire, Durham, NH  03824, United States"
Knight C.J.,"Chemistry and Biochemistry Department, Brigham Young University, Provo, Utah  84602, United States"
Knight M.M.,"University of Maryland, Department of Astronomy, College Park, MD, United States"
Knighton B.E.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Knobles D.P.,"Knobles Scientific and Analysis, Austin, TX  78713, United States"
Knotts T.A.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Kobayashi M.,"Dept. of Physics, Yokohama National University, 79-5 Tokiwadai, Hodogaya, Yokohama, 240-8501, Japan"
Koch D.P.,"Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Kochenderfer M.J.,
Koehler R.,"Univ. of Nevada, Reno, United States"
Kokusho T.,"Chuo University, Tokyo, Japan"
Korimi M.,"Brigham Young University, Provo, UT, United States"
Kothapalli D.,"Imaging Genetics Center, Mark and Mary Stevens Neuroimaging and Informatics Institute Keck, School of Medicine, University of Southern California, Marina del Rey, CA, United States"
Kovacevic A.,"City, University of London, United Kingdom"
Kowalski T.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Kramer E.A.,"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, United States"
Kramer I.,"School of Communications, Brigham Young University, United States"
Kraus D.,"Mechanical Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Kress J.D.,"Los Alamos National Lab, Los Alamos, NM  87545, United States"
Kring D.A.,"Center for Lunar Science and Exploration, Lunar and Planetary Institute, Houston, United States"
Kruman B.A.,"Department of Health Science, Brigham Young University, Provo, UT, United States"
Krutka D.G.,"Teacher Education and Administration, University of North Texas, Denton, United States"
Kuan Y.,"International College of Semiconductor Technology, National Chiao Tung University, Hsinchu 30010, Taiwan (e-mail: yckuan@g2.nctu.edu.tw)."
Kuan Y.-C.,"National Chiao Tung University, International College of Semiconductor Technology, Hsinchu, 30010, Taiwan"
Kumar A.,"Department of Civil Engineering, Indian Institute of Technology Bombay, Mumbai, 400076, India, Department of Engineering, Durham UniversityDH13LE, United Kingdom"
Kunzler J.W.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States"
Kurata M.,"Nuclear Science and Engineering Directorate, Japan Atomic Energy Agency (JAEA), 2-4 Shirane, Shirakata, Tokai-mura, Naka-gun, Ibaraki  319-1195, Japan"
Kurniawan C.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Kurtz D.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Kushan L.,"Department of Psychiatry and Biobehavioral Sciences, Semel Institute for Neuroscience and Human Behavior, University of California at Los Angeles, Los Angeles, CA, United States"
Kvavle J.,"U.S. Office of Naval Research Global, São Paulo, Brazil"
Kück K.,"Department of Bioengineering, University of Utah, Salt Lake City, UT, United States, Department of Anesthesiology, University of Utah, Salt Lake City, UT, United States"
La A.,"Brigham Young University, Department of Mechanical Engineering, Provo, UT, United States"
Lam S.-H.,"Brigham Young University Provo, Computer Science Department Computer Science Department, Utah, 84602, United States"
Landers N.,"SilentBreak Security, Lehi, UT  84043, United States"
Lane S.,"Brigham Young University, Provo, UT, United States"
Laney J.,"Electrical and Computer Engineering Department, Brigham Young University, 450 Engineering Building, Provo, UT  84602, United States"
Lang R.J.,"Lang Origami, Alamo, CA, United States"
Lansinger V.,"Department of Chemical Engineering, Brigham Young University, Provo, UT, United States"
Lansinger V.B.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Larmore G.,"Department of Electrical and Computer Engineering, University of Colorado Colorado Springs, Colorado Springs, CO  80918, United States"
Larsen A.,"Brigham Young University, United States"
Larsen B.,"Brigham Young University, Provo, UT, United States"
Larsen J.L.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Larsen R.T.,"Department of Plant and Wildlife Sciences, 4105B LSB, Brigham Young University, Provo, UT  84602, United States"
Laspalas M.,"ITAINNOVA Instituto Tecnológico de Aragón, Spain"
Laughlin E.,"Department of Electrical Engineering, Brigham Young University, Provo, UT, United States"
Laughlin K.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Lavadiya D.N.,"North Dakota State University, United States"
Lavin C.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States, Xilinx, San Jose, CA  95124, United States"
Lawrence E.,"Los Alamos National Laboratory, Los Alamos, United States"
Lawrence P.B.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Lawson J.,"Department of Statistics, Brigham Young University, Provo, UT, United States"
Lay K.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States"
Laycock R.G.,"Chemical Engineering Department, Brigham Young University, Provo, UT, United States"
Layton K.,"ON Semiconductor, Lindon, UT  84042, United States"
Layton T.,"Department of Emergency Response, Eversource Energy, Jacksonville, AL, United States, Department of Emergency Management, Jacksonville State University, Jacksonville, AL, United States"
Lazarz J.,"Los Alamos National Laboratory, Los Alamos, United States"
Lazzaroni M.,"Dipartimento di Fisica, Università degli Studi di Milano, via G. Celoria, 16, Milano, 20133, Italy, INFN Milano, via G. Celoria, 16, Milano, 20133, Italy"
Le Bas P.-Y.,"Detonation Science and Technology Group (Q-6), Los Alamos National Laboratory, Los Alamos, NM, United States"
Le Gall A.,"LATMOS Observatoire de Versailles Saint-Quentin-en-Yvelines (OVSQ), Paris, France"
Le K.,"University of Houston Texas, 7000 Fannin St, Houston, TX, United States"
Le S.Q.,"NASA-Johnson Space Center, Houston, TX, United States"
Leake K.D.,"School of Engineering, University of California, 1156 High Street, Santa Cruz, CA  95064, United States"
Leary H.,"Instructional Psychology & Technology, McKay School of Education, Brigham Young University, Provo, UT, United States"
Leavitt J.C.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States, NSF Center for Space, High-Performance, and Resilient Computing (SHREC), United States"
Lebedev O.V.,"Center for Design, Manufacturing and Materials, Skolkovo Institute of Science and Technology, Russian Federation"
Ledezma C.,"Dept. of Geotechnical and Structural Engineering, Pontificia Univ. Católica de Chile, Vicuña Mackenna 4860, Macul, Santiago, 7820436, Chile, Center for Integrated Natural Disaster Management CONICYT/FONDAP/15110017, Vicuña Mackenna 4860, Macul, Santiago, 7820436, Chile"
Lee A.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Lee D.-J.,"School of Electrical and Computer Engineering, Nanfang College of Sun Yat-sen University, Guangzhou, 510970, China, Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Lee D.S.,"Sandia National Laboratories, Albuquerque, NM  87123, United States"
Lee E.T.,"Brigham Young University, Provo, UT  84604, United States"
Lee J.H.,"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Lee K.,"Department of Computer and Information Sciences, Brigham Young University, Hawaii, United States"
Lee K.-J.,"Environment Materials and Components Center, Korea Institute of Industrial Technology, Jeonju, South Korea"
Lee M.-G.,"Department of Materials Science and Engineering, Korea University, Seoul, 02841, South Korea"
Lee T.Y.,"University of Maryland, College Park, MD, United States"
Leete K.M.,"Brigham Young University, Provo, UT  84602, United States"
Lemmon J.P.,"NICE, Beijing, 102211, China"
Lemonnier D.,"ISAE-ENSMA, BP 40109, Futuroscope Chasseneuil Cedex, 86961, France"
Leslie Youd T.,"Dept. of Civil and Environmental Engineering, Brigham Young Univ., Provo, UT  84602, United States"
Leto A.,"City, University of London, United Kingdom, Džemal Bijedić University of Mostar, Bosnia and Herzegovina"
Leung H.,"Department of Computer Science, Brigham Young University, Information and Decision Algorithms Laboratories, Provo, UT  84602, United States"
Levin H.S.,"Michael E. DeBakey Veterans Affairs Medical Center, Houston, TX, United States, Department of Physical Medicine and Rehabilitation, Baylor College of Medicine, Houston, TX, United States"
Levy O.,"Center for Materials Genomics, Duke University, Durham, NC  27708, United States, Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States, Department of Physics, NRCN, P.O. Box 9001, Beer-Sheva, 84190, Israel"
Lewis R.S.,"Brigham Young University, College of Engineering and Technology, Sociology Department, United States"
Lewis R.V.,"Synthetic Bioproducts Center, Utah State University, North Logan, UT  84341, United States"
León C.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Li T.,"State Key Laboratory of Magnetic Resonance and Atomic Molecular Physics, National Center for Magnetic Resonance in Wuhan, Wuhan Institute of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, Hubei  430071, China"
Li X.,"Institute of Thermal Science and Technology, Shandong University, Jinan, Shandong  250061, China"
Li Y.,"State Key Laboratory of Magnetic Resonance and Atomic Molecular Physics, National Center for Magnetic Resonance in Wuhan, Wuhan Institute of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, Hubei  430071, China, College of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, Hubei  430074, China"
Liang J.H.,"Brigham Young University, 368 Clyde Building, Provo, UT  84602, United States"
Liarte D.B.,"Laboratory of Atomic and Solid State Physics, Clark Hall, Cornell University, Ithaca, NY  14853-2501, United States"
Libano F.,"Institute of Informatics, Federal University of Rio Grande Do sul, Porto Alegre, 90040-060, Brazil"
Liepe M.,"LEPP, Physics Department, Newman Laboratory, Cornell University, United States"
Lignell D.,"Brigham Young University, Provo, UT, United States"
Lignell D.O.,"Department of Chemical Engineering, Brigham Young University, Provo, UT, United States"
Lim H.,"Department of Computational Materials and Data Science, Sandia National Laboratories, Albuquerque, NM  87185, United States"
Lin A.,"Department of Psychiatry and Biobehavioral Sciences, Semel Institute for Neuroscience and Human Behavior, University of California at Los Angeles, Los Angeles, CA, United States"
Lin C.-S.,"Department of Health Services Administration, China Medical University, Taichung, 40402, Taiwan"
Lin H.-H.,"Department of Management Information Systems, Central Taiwan University of Science and Technology, Taichung, 40601, Taiwan"
Lin Q.,"IBM T.J. Watson Research Center, 1101 Kitchawan Road, PO Box 218, Yorktown Heights, NY  10598, United States"
Linden D.E.J.,"MRC Centre for Neuropsychiatric Genetics and Genomics, Division of Psychological Medicine and Clinical Neurosciences, Cardiff University, Cardiff, United Kingdom, Cardiff University Brain Research Imaging Centre (CUBRIC), Cardiff University, Cardiff, United Kingdom"
Linford M.R.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Ling M.,"State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University, Xi'an, 710049, China, Institute of Systems Engineering, China Academy of Engineering Physics, No.28, Mianshan road, Mianyang, 621999, China"
Lingwall B.N.,"South Dakota School of Mines & Technology, CM 311, Rapid City, SD  57701, United States"
Linn J.,"Department of Manufacturing Engineering Technology, Brigham Young University, Provo, UT, United States"
Linn R.R.,"Earth and Environmental Sciences Division, Los Alamos National Laboratory, Los Alamos, NM, United States"
Liotier P.-J.,"Mines Saint-Etienne, Université de Lyon, CNRS, UMR 5307 LGF, Centre SMS, Departement MPE, Saint-Etienne, F-42023, France"
List M.G.,"Compressor Aero Research Laboratory, Air Force Research Laboratory, Propulsion Directorate, Wright-Patterson AFB, OH  45433, United States"
Liu B.-F.,"College of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, Hubei  430074, China"
Liu C.,"College of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, Hubei  430074, China"
Liu F.C.,"Department of Mechanical Engineering, Brigham Young University, 435 CTB, Provo, UT  84602, United States"
Liu H.,"Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences, Changchun, Jilin, 130033, China"
Liu J.,"Naval Research Laboratory, Washington, D.C.  20375, United States"
Liu L.,"Department of Physics and Astronomy, KU Leuven, Celestijnenlaan 200D, Heverlee, B-3001, Belgium"
Liu M.,"School of Information Science and Engineering, Lanzhou University, Lanzhou, China"
Liu R.,"Raytheon Space and Airborne Systems, El Segundo, CA, United States"
Liu W.,"School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510006, China, SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, 528399, China"
Liu Y.,"Shell Development Co, United States"
Liu Z.Y.-C.,"School of Earth and Space Exploration, Arizona State University, Tempe, AZ  85287, United States"
Lizaranzu M.,"ITAINNOVA Instituto Tecnológico de Aragón, Spain"
Loaiza J.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Lofthouse V.,"Loughborough Design School, Loughborough University, Loughborough, LE11 3TU, United Kingdom"
Loiseau J.,"CReSTIC Laboratory EA3804, University of Reims Champagne-Ardenne, France"
Lomov S.V.,"Department of Mechanical Engineering, Katholieke Universiteit Leuven, Belgium"
Loney D.A.,"US Army Corps of Engineers, Engineer Research and Development Center, Coastal and Hydraulics Lab, United States"
Long A.,"Faculty of Engineering, University of Nottingham, United Kingdom"
Long D.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States"
Long D.G.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Long E.A.,"Department of Chemical Engineering, Brigham Young University, Provo, UT, United States"
Longobardo A.,"Smithsonian Institution, National Air and Space Museum, Center for Earth and Planetary Studies, Washington, DC, United States"
Lopes C.V.,"Department of Informatics, University of California, Irvine, Irvine, CA  92697, United States"
Lopes R.,"NASA Jet Propulsion Laboratory, Pasadena, CA  91109, United States"
Lopez J.S.,"Geoestudios, J. Assaf B. St., 704-3, Guayaquil, Ecuador"
Lorenz R.D.,"Johns Hopkins University Applied Physics Laboratory, Laurel, MD  20723, United States"
Lorenzo G.,"Departamento de Métodos Matemáticos e de Representación, Universidade da Coruña, Campus de Elviña s/n, 15071 A Coruña, Spain"
Lorimer D.R.,"West Virginia University, Morgantown, WV, United States"
Louis-Kayen G.P.,"University of California, Berkeley, United States"
Louis-Kayen N.M.,"Tufts University, Medford, MA, United States"
Lourenço P.B.,"ISISE, University of Minho, Department of Civil Engineering, Portugal"
Lovasz E.-C.,"Faculty of Mechanical Engineering, Universitatea Politehnica Timişoara, Timişoara, Romania"
Lovett B.,"Department of Mechanical and Aerospace Engineering, Utah State University, Logan, UT  84322, United States"
Lu W.,"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States"
Luc-Harkey B.A.,"Brigham and Women's Hospital, Boston, MA, United States"
Luk W.,"Imperial College London, United Kingdom"
Luna A.,"Caruso Turley Scott, Structural Engineers, 1215 W. Rio Salado Pkwy, Tempe, AZ  85281, United States"
Lund J.,"Computer Science Department, Brigham Young University, Provo, UT  84602, United States"
Lundgreen R.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84062, United States"
Lunine J.,"Department of Astronomy, Cornell University, Ithaca, NY  14853, United States"
Lunt B.M.,"School of Technology, Brigham Young University, United States"
Luscher D.J.,"Los Alamos National Laboratory, Los Alamos, United States"
Lusk P.C.,"Brigham Young University, Provo, UT  84602, United States"
Lusvardi C.,"Dept. Civil Env. Engineering, Brigham Young Univ., Provo, UT  84602, United States"
Lyman C.,"Computer Science Department, Brigham Young University, Provo, UT, United States"
Lyman C.A.,"Department of Computer Science, Brigham Young University, Provo, UT, United States"
Lyng G.,"Department of Mathematics, University of Wyoming, Laramie, WY  82071, United States"
Lyon D.J.,"Department of Crop and Soil Sciences, Washington State University, Pullman, WA, United States"
Lystrup C.,"Department of Manufacturing Engineering, Brigham Young University, United States"
Lytle J.,"Department of Mathematics, Brigham Young University, Provo, UT  84602, United States"
Lübeck A.,"Department of Structures and Civil Engineering, Federal University of Santa Maria, Brazil"
Ma F.,"School of Mechatronics, Xidian University, Xi'an, Shaanxi, 710071, China"
MacCarty N.A.,"Dept. of Mechanical, Industrial and Manuf. Engineering, Oregon State University, Corvallis, OR  97331, United States"
MacKay R.J.,"University of Waterloo, Waterloo, ON, Canada"
Maccarty N.A.,"Department of Mechanical, Industrial and Manufacturing Engineering, Oregon State University, Corvallis, OR  97331, United States"
Machado S.,"Columbia Basin Agricultural Research Center, Oregon State University, Pendleton, OR, United States"
Machanzi T.,"Brigham Young University, 368 CB, Provo, UT  84664, United States"
Machekposhti D.F.,"Department of Precision and Microsystems Engineering, Delft University of Technology, Mekelweg 2, 2628 CD Delft, Netherlands"
Macpherson J.,"Baker Hughes GE, United States"
Maestre J.,"Departament d′Enginyeria Mecànica, Universitat Rovira i Virgili, Av. Països Catalans, 26, Tarragona, 43007, Spain"
Magleby S.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Magleby S.P.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Mahmood A.,"Wavetronix Llc, Provo, UT, United States"
Major G.H.,"Brigham Young University, Provo, UT  84602, United States"
Major J.,"Department of Geological Sciences, Brigham Young University, Provo, UT  84602-4606, United States, Bureau of Economic Geology, The University of Texas at Austin, Austin, TX  78758, United States"
Makhmalbaf A.,"Pacific Northwest National Laboratory, 902 Battelle Blvd, Richland, WA  99354, United States"
Malaska M.J.,"NASA Jet Propulsion Laboratory, Pasadena, CA  91109, United States"
Malmberg M.A.,"Departments of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Manandhar K.,"Department of Materials Science and Engineering, University of Maryland, College Park, MD  20742, United States"
Mancini S.,"Department of Mechanical Engineering, Polytechnic of Turin, Via Cristoforo Colombo, 55, Turin, 10129, Italy"
Manning A.,"Brigham Young University, United States"
Manning A.D.,"Department of Linguistics and English Language, Brigham Young University, Provo, UT  84602, United States"
Manring L.,"Department of Mechanical Engineering and Materials Science, Pratt School of Engineering, Duke University, Durham, NC, United States"
Mansoor M.M.,"Department of Mechanical and Aerospace Engineering, Utah State University, Logan, UT  84322, United States"
Manyam S.G.,"Infoscitex Corporation, Dayton, OH, United States"
Marchese M.,"University of Genoa, Genoa, Italy"
Mardkhe M.K.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Marr K.M.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Marsh A.,"DOWL, 4041 B St., Anchorage, AK  99503, United States"
Martens D.R.W.,"Department of Architecture, Building and Planning, Eindhoven University, Netherlands"
Martin R.A.,"Brigham Young University, Department of Chemical Engineering, 350 CB, Crabtree Building, Provo, UT  84602, United States"
Martin S.R.,"Johns Hopkins University, Applied Physics Laboratory, Laurel, MD, United States"
Martineau A.,"Brigham Young University, Department of Mechanical Engineering, Provo, UT, United States"
Martinez T.,"Brigham Young University, United States"
Martínez A.,"Pontificia Universidad Católica de Chile, Chile"
Mascarenas D.,"Engineering Institute, Los Alamos National Laboratory, Los Alamos, NM, United States"
Mascareñas D.D.L.,"Los Alamos National Laboratory, Los Alamos, NM, United States"
Matheson D.J.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Mathies R.A.,"Department of Chemistry, University of California at Berkeley, Berkeley, CA  94720, United States"
Mathis T.,"Manufacturing Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Matsubara E.,"Graduate School of Engineering Science, Osaka University, 1-3 Machikaneyama-cho, Toyonaka, Osaka, 560-8531, Japan, Department of Physics, Osaka Dental University, 8-1 Kuzuha-hanazono, Hirakata, Osaka, 573-1121, Japan"
Mattson C.,"Brigham Young University, Provo, UT, United States"
Mattson C.A.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Maughan P.J.,"General Mills, Inc., Crop Bioscience Wheat Innovation Center, 1990 Kimball Ave, Manhattan, KS  66502, United States"
Mavrogordato M.N.,"Materials Research Group, Faculty of Engineering and the Environment, University of Southampton, United Kingdom"
Maxfield J.H.,"Department of Exercise Science, Brigham Young University, Provo, UT  84602, United States"
May D.,"Institut für Verbundwerkstoffe GmbH, Germany"
Maynes D.,"Brigham Young University, Provo, UT  84602, United States"
Maynes D.R.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Mayoral J.M.,"Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico"
Mazrouei S.,"Department of Earth Sciences, University of Toronto, Toronto, Canada"
Mazzeo B.A.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
McAlpin J.T.,"US Army Corps of Engineers, Engineer Research and Development Center, Coastal and Hydraulics Lab, United States"
McCabe K.L.,"School of Psychology, University of Newcastle, Australia"
McCall A.J.,"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States, 1376 N 1350 W, Provo, UT  84604, United States"
McClelland H.G.,"Aerospace and Ocean Engineering, Virginia Tech, Blacksburg, VA  24061, United States"
McCown A.S.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
McCracken S.L.,"Electric Power Research Institute, Charlotte, NC  28262, United States"
McDonald J.K.,"Brigham Young University, United States"
McDonald S.J.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
McDonald-Mcginn D.,"Division of Human Genetics, Children's Hospital of Philadelphia, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, United States"
McDonnell T.,"Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
McElderry J.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
McEwen B.,"Brigham Young University, Provo, UT, United States"
McGhin R.F.,"III, Drainage Designer, Drainage Group, Kiewit Engineering Group, Inc., 9401 Renner Blvd., Lenexa, KS  66219, United States"
McKinley R.L.,"Air Force Research Laboratory, Research Physicist, Battlespace Acoustics Branch, 2610 Seventh St., Bldg. 441, Wright-Patterson Air Force Base, OH  45433, United States"
McLain T.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
McLain T.W.,"Brigham Young University, Provo, UT  84602, United States, Department of Mechanical Engineering, United States"
McLeod A.R.,"Department of Exercise Science, Brigham Young University, Provo, UT, United States"
McMillan G.,"Roseman University of Health Sciences, College of Dental Medicine, South Jordan, UT  84095, United States"
McMurray J.,"Department of Electrical and Computer Engineering, Brigham Young University, 459 Clyde Building, Provo, UT  84602, United States"
Meaker K.S.,"Brigham Young University, Provo, UT  84602, United States"
Medina J.,"Brandenburgische Technische Universität Cottbus-Senftenberg, Cottbus, Germany"
Meena G.,"Baskin School of Engineering, University of California, Santa Cruz, Santa Cruz, CA  95064, United States"
Meena G.G.,"University of California Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States"
Megaridis C.M.,"Department of Mechanical and Industrial Engineering, University of Illinois at Chicago, Chicago, IL  60607, United States"
Mehl M.J.,"Center for Materials Physics and Technology, Code 6390, U.S. Naval Research Laboratory, Washington, DC  20375, United States"
Mehmood R.,"Wavetronix, LLC, Provo, UT  84606, United States"
Mehr J.,"Brigham Young University, Mechanical Engineering Department, Provo, UT  84602, United States"
Mehrnia M.R.,"School of Chemical Engineering, College of Engineering, University of Tehran, Tehran, Iran"
Mehta A.,"SLAC National Accelerator Laboratory, Menlo Park, CA  94025, United States"
Membreno K.,"Department of Chemistry and Biochemistry, Brigham Young University, C100 BNSN, Provo, UT  84602, United States"
Memmott M.J.,"Brigham Young University, Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Menand S.,"DrillScan, United States"
Meratnia N.,"University of Twente, Enschede, Netherlands"
Mercer E.,"Brigham Young University, Provo, UT  84601, United States"
Mercer E.G.,"Brigham Young University, Provo, UT, United States"
Merchel E.,"Department of Geology and Geophysics, University of Utah, Frederick Albert Sutton Building, 115 S, 1460 E #383, Salt Lake City, UT  84112, United States"
Merrell A.J.,"Department of Mechanical Engineering, Brigham Young University, Provo, United States"
Merrell J.,"Brigham Young University, Department of Mechanical Engineering, Provo, UT, United States"
Merrill R.M.,"Department of Health Science, Brigham Young University, College of Life Sciences, Life Sciences Building (LSB), Provo, UT  84602, United States"
Merritt A.,"Department of Mechanical and Aerospace Engineering, Utah State University, Logan, UT  84322, United States"
Metro D.,"Brigham Young University, United States"
Miao D.,"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States"
Miao X.,"Henan University of Science and Technology, School of Information Engineering, Luoyang, China"
Micah Downing J.,"Blue Ridge Research and Consulting, LLC, Asheville, NC  28801, United States, 29 N Market St, Suite 700, United States"
Michael Bove V.,"Media Laboratory, Massachusetts Institute of Technology, 75 Amherst St., Cambridge, MA  02142, United States"
Michela E.,"Brigham Young University, United States"
Middendorf P.,"Institute of Aircraft Design, University of Stuttgart, Germany"
Migliaccio M.,"Department of Engineering, Universita di Napoli Parthenope, Napoli, 80143, Italy"
Milam S.N.,"NASA Goddard Space Flight Center, Greenbelt, MD, United States"
Milana G.,"Istituto Nazionale di Geofisica e Vulcanologia, Rome, 00143, Italy"
Milani A.S.,"UNIPAMPA, Alegrete, 97546-550, Brazil"
Miles M.,"Manufacturing Engineering Technology Program, Brigham Young University, Provo, UT  84602-9601, United States"
Miles M.P.,"Department of Manufacturing Engineering Technology, Brigham Young University, Provo, UT, United States"
Millard J.,"Brigham Young University, Electrical and Computer Engineering Department, Provo, UT  84602, United States"
Millard J.D.,"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Mincigrucci R.,"Elettra-Sincrotrone Trieste S.C.pA., S.S. 14km 163 5 in Area Science Park Basovizza, Trieste, 34149, Italy"
Misha R.,"General Motors R&D, Warren, MI, United States"
Mishra R.,"Rajiv Mishra University of North Texas, Denton, TX, United States"
Mishra R.K.,"General Motors R&D, Warren, MI  48090, United States"
Mishra R.S.,"Center for Friction Stir Processing, Advanced Materials and Manufacturing Processes Institute, University of North Texas, Denton, TX  76203, United States"
Mitschang P.,"Institut für Verbundwerkstoffe GmbH, Germany"
Mo J.,"College of Engineering, South China Agricultural University, Guangzhou, China"
Moazzami F.,"Morgan State University, Baltimore, MD, United States"
Moffett T.,"Brigham Young University, United States"
Mohamad G.,"DECC, UFSM, Santa Maria, 97105-900, Brazil"
Mojica J.L.,"Department of Chemical Engineering, Brigham Young University, 350 CB, Provo, UT  84602, United States"
Momtahan N.,"Department of Chemical Engineering, Brigham Young University, 350 CB, Provo, UT  84602, United States"
Monaco P.,"Dept. Civil, Arch. Env. Engineering, Univ. of l'Aquila, L'Aquila, 67100, Italy"
Monk A.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Monson T.,"Computer Science Department, Brigham Young University, 3361 TMCB PO Box 26576, Provo, UT  84602-6576, United States"
Montalva G.,"University of Concepcion, Chile"
Monteiro T.,"Instituto de Telecomunicações, Department of Electrical and Computer Engineering, University of Coimbra, Portugal"
Montgomery J.,"Auburn University, Auburn, AL, United States"
Moon B.,"Department of Electrical and Computer Engineering, Brigham Young University, United States"
Moon B.G.,"Electrical Engineering, Brigham Young University, United States"
Moore B.A.,"Los Alamos National Laboratory, United States"
Moore J.J.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Moore K.R.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Morales C.,"Magdalena 181, Las Condes, Santiago, 7550055, Chile, Dept. of Geotechnical and Structural Engineering, Pontificia Univ. Católica de Chile, Vicuña Mackenna 4860, Macul, Santiago, 7820436, Chile"
Morales-Velez A.C.,"University of Puerto Rico Mayaguez, Mayaguez, Puerto Rico"
Morey R.,"Psychiatry, Duke University, Durham, NC, United States"
Morgan D.,"Brigham Young University, United States"
Morgan D.C.,"Brigham Young University, United States"
Morgan J.C.,"National Energy Technology Lab, Pittsburgh, PA  10940, United States"
Morgan W.S.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Morán J.,"Institute of Research in Materials Science and Technology, Universidad Nacional de Mar del Plata, Argentina"
Mosavi H.,"University of Florida, Gainesville, FL, United States"
Moss C.D.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
